smiles,solubility,cluster
COc2ncc1nccnc1n2,-1.11,6
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484,11
CCCCCCCl,-3.12,3
Brc1ccc(Br)cc1,-4.07,2
Fc1ccc(F)cc1,-1.97,2
CCCCCCCI,-4.81,3
Brc1cc(Br)c(Br)cc1Br,-6.98,2
C1CCC2CCCCC2C1,-5.19,3
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59,10
CCc1ccc(C)cc1,-3.11,1
CC(C)CCOC(=O)C,-1.92,8
Cc1cccc(C)c1,-2.82,1
Oc1cccc(O)c1,0.81,2
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.24,0
Cc1ccc2c(ccc3ccccc32)c1,-5.84,10
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593,7
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005,11
CC1=CCC(CC1)C(C)=C,-4.26,6
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7,11
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39,7
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,0
Oc2ncc1nccnc1n2,-1.947,6
CCCCBr,-2.37,3
CC1=CCCCC1,-3.27,3
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 ,-3.73,11
CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,-2.98,11
Cc1cccc2c(C)cccc12,-4.678999999999999,10
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11,2
Nc1nc(=O)[nH]cc1F,-0.972,6
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,4
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,-4.93,11
CCCc1ccccc1,-3.37,1
CCCCO,0.0,9
CNN,1.34,6
COc1ccc(C=CC)cc1,-3.13,1
CC(C)=CCC/C(C)=C\CO,-2.46,6
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6,4
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,-4.37,0
CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC ,-3.84,11
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,7
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76,6
CCC(C)O,0.47,9
N#Cc1ccccc1C#N,-2.38,1
c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,-4.314,11
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,10
COP(=O)(NC(C)=O)SC ,0.54,6
ClCc1ccccc1,-2.39,1
O=C1NCCN1c2ncc(s2)N(=O)=O,-3.22,11
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9,11
C1CCCC1,-2.64,3
Nc1c(C)c[nH]c(=O)n1 ,-1.4580000000000002,6
CC(C)C(=O)C(C)C,-1.3,3
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,6
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9,5
Clc1ccc(Cl)c(Cl)c1,-3.59,2
CCC(C)CC,-3.68,3
c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,-4.24,1
CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.1710000000000003,6
c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-8.0,2
COC(=O)C=C,-0.22,8
CCc1ccccn1,0.51,2
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004,1
C(Cc1ccccc1)c2ccccc2,-4.62,1
Clc1ccccc1c2ccccc2Cl ,-5.27,4
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523,11
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,11
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,10
CCCCN(CC)C(=O)SCCC,-3.53,6
CC(C)CC(C)C,-4.26,3
CCCC(C)C,-3.74,3
CCCSCCC,-2.58,6
Cc2cnc1cncnc1n2,-0.8540000000000001,6
CC(Cl)Cl,-1.29,6
Nc1ccc(cc1)c2ccc(N)cc2,-2.7,5
C=CC#N,0.15,6
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18,0
c1ccsc1,-1.33,6
c1ccccc1,-1.64,2
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025,11
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26,11
ClCC#N,-0.092,6
Oc1ccccn1,1.02,2
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,2
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,-3.62,11
CI,-1.0,6
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15,6
c1ccncc1,0.76,6
Oc1c(Cl)ccc(Cl)c1Cl,-2.64,2
CN(C)C(=O)NC1CCCCCCC1,-2.218,6
COc2c1occc1cc3ccc(=O)oc23 ,-3.664,11
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097,11
c1ccc2c(c1)c3cccc4cccc2c34,-6.0,2
Nc3ccc2cc1ccccc1cc2c3 ,-5.17,10
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001,11
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38,11
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,11
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57,4
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,7
CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749,11
CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95,11
CCC#N,0.28,3
CC(C)(C)c1ccc(O)cc1,-2.41,1
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,10
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6,10
Cc1cccc2ccccc12,-3.7,10
CC(C)(C)Cc1ccccc1,-4.15,1
CCN(CC)c1ccccc1,-3.03,5
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259,11
c1ccc2ncccc2c1,-1.3,2
CCCCC(CC)C=O,-2.13,3
Cc1cccc(C)c1C,-3.2,1
CC(=C)C,-2.33,3
CCC(CC)CO,-1.17,9
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,6
Clc1ccc(cc1)N(=O)=O,-2.92,5
Fc1cccc(Br)c1,-2.67,2
CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,-6.78,11
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,0
c2ccc1NCCc1c2 ,-1.04,5
Clc1ccccc1Br,-3.19,2
C=CCC=C,-2.09,3
CCCCCCCC(=O)OC,-3.17,8
Nc2cccc3nc1ccccc1cc23 ,-4.22,2
CCCCS,-2.18,3
Fc1ccccc1Br,-2.7,2
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19,6
Cc1ccc(cc1)S(=O)(=O)N,-1.74,1
CCCCCCCBr,-4.43,3
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005,0
Cc1ccc2cc(C)ccc2c1,-4.89,10
CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-0.364,11
ClC(Cl)(Cl)C#N,-2.168,6
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01,4
c1ccc2cc3ccccc3cc2c1,-6.35,10
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499,11
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71,4
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046,11
C=C,-0.4,6
ClCC(Cl)Cl,-1.48,6
CCCCCC=C,-3.73,3
CC2(C)C1CCC(C)(C1)C2=O,-1.85,0
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.692,5
c1ccccc1SC,-2.39,2
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445,11
CCCCCCC(=O)C,-2.05,3
CCCCCCCCC,-5.88,3
ClCCCl,-1.06,6
COc1ccccc1Cl,-2.46,2
ClC(Br)Br,-1.9,6
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.8759999999999999,11
Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461,11
CC=C,-1.08,6
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8,4
C=Cc1ccccc1,-2.82,1
CCCC(C)(C)O,-0.49,9
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,1
OC1CCCCC1,-0.44,9
CC(C)c1ccccc1C,-3.76,1
CCCC(O)CCC,-1.4,9
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,11
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,11
CCCCCCCCCCCCCCCCCCCC,-8.172,3
CC(C)CCC(C)(C)C,-5.05,3
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,-2.93,5
Cc1ccccc1N(=O)=O,-2.33,5
OCC1OC(O)(CO)C(O)C1O,0.64,6
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04,5
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47,11
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666,11
Oc1cccc(Cl)c1Cl,-1.3,2
CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 ,-4.207,11
CCCCOCCCC,-1.85,8
CCOC(=O)c1ccc(O)cc1,-2.35,1
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8,0
O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002,6
CC(C)OC(=O)C,-0.55,8
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,11
CCCCl,-1.47,3
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84,11
c3ccc2c(O)c1ccccc1cc2c3 ,-4.73,10
O=N(=O)c1cccc(c1)N(=O)=O,-2.29,5
Clc1ccccc1,-2.38,2
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37,5
CC(=O)C(C)(C)C,-0.72,3
CCC(O)C(C)C,-0.7,9
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153,11
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,2
CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,5
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,6
Nc2cnn(c1ccccc1)c(=O)c2Cl,-2.878,11
CNC(=O)Oc1ccccc1C2OCCO2,-1.57,11
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31,5
CCCC(C)(O)CC,-0.98,9
CC(C)COC=O,-1.01,8
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,0
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94,4
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24,11
NC(=O)c1cccnc1 ,0.61,2
CCOC(=O)C=Cc1ccccc1,-3.0,1
c1ccoc1,-0.82,6
CCCCCC(O)CC,-1.98,9
Oc1c(I)cc(C#N)cc1I,-3.61,1
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82,11
CCCOC(=O)c1ccc(N)cc1,-2.452,1
CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.95,1
CCCCCCCCCCCCCCCO,-6.35,9
COc1ccccc1,-1.85,2
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46,2
CCC(O)(CC)CC,-0.85,9
CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1,6
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-1.456,5
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,5
CCC(=O)C,0.52,3
c2cnc1ncncc1n2,0.02,6
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 ,-0.85,11
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356,7
CCNc1nc(Cl)nc(NCC)n1 ,-4.55,6
CCCCCc1ccccc1,-4.64,1
Oc1c(Cl)cc(Cl)cc1Cl,-2.34,2
CCCOC(=O)CC,-0.82,8
ClCC(C)C,-2.0,3
CCC(C)Cl,-1.96,3
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,5
CCNc1nc(NC(C)C)nc(OC)n1,-2.084,6
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,11
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445,11
C1CCOC1,0.49,8
C1CCCCCCC1,-4.15,3
C1CCCCCC1,-3.51,3
CC(C)OC=O,-0.63,8
Clc1cccc(Br)c1,-3.21,2
Nc1cccc(Cl)c1,-1.37,5
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92,4
CCCCCCCCl,-4.0,3
CCCCCCC(=O)OCC,-2.74,8
CCCCC(C)CC,-5.16,3
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281,11
COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,-0.742,11
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82,5
c2ccc1[nH]nnc1c2,-0.78,6
CCCCCCCC(=O)C,-2.58,3
CCCCOC,-0.99,8
c1nccc(C(=O)NN)c1,0.009,2
CC(C)N(=O)=O,-0.62,6
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077,7
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173,0
CCOC(C)OCC,-0.43,6
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,-3.952,11
CCCCc1ccccc1,-4.06,1
CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,-4.925,11
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,2
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,11
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324,11
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001,11
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,5
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,-7.66,4
Clc1ccc2ccccc2c1,-4.14,2
CCCCCOC(=O)C,-1.89,8
CC/C=C/C,-2.54,3
CCC(C)(C)CC,-4.23,3
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,6
c1ccc2c(c1)ccc3ccccc32,-5.26,10
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,-6.14,4
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,-5.4,11
Nc1nc(O)nc2nc[nH]c12 ,-3.401,11
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322,11
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,11
Cn1ccc(=O)[nH]c1=O,-0.807,6
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928,6
OCC(O)C(O)CO,0.7,8
BrC(Cl)Cl,-1.54,6
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002,7
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34,11
Cc1cccc2c1Cc3ccccc32,-5.22,11
CC1(C)C2CCC1(C)C(=O)C2,-1.96,0
