smiles,dga,cluster
[H]C([H])([H])[H],-16.151918411254883,0
[H]N([H])[H],-11.246005058288574,0
[H]O[H],-8.733848571777344,0
[H]C#C[H],-15.86263370513916,0
[H]C#N,-12.520095825195312,0
[H]C([H])=O,-14.763946533203125,0
[H]C([H])([H])C([H])([H])[H],-27.18616485595703,0
[H]OC([H])([H])[H],-19.519245147705078,0
[H]C#CC([H])([H])[H],-27.37781524658203,0
[H]C([H])([H])C#N,-24.159278869628906,0
[H]C(=O)C([H])([H])[H],-26.303726196289062,0
[H]C(=O)N([H])[H],-22.12468147277832,0
[H]C([H])([H])C([H])([H])C([H])([H])[H],-38.28070831298828,0
[H]OC([H])([H])C([H])([H])[H],-30.760297775268555,0
[H]C([H])([H])OC([H])([H])[H],-30.422847747802734,0
[H]C1([H])C([H])([H])C1([H])[H],-32.64207458496094,0
[H]C1([H])OC1([H])[H],-25.055376052856445,0
[H]C([H])([H])C(=O)C([H])([H])[H],-37.75392532348633,0
[H]N([H])C(=O)C([H])([H])[H],-33.51817321777344,0
[H]N([H])C(=O)N([H])[H],-28.990278244018555,0
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-49.401676177978516,0
[H]OC([H])(C([H])([H])[H])C([H])([H])[H],-42.007965087890625,0
[H]CC#CC[H],-27.633136749267578,0
[H]CC#C[NH3+],-24.14327621459961,0
N#CC#N,-20.3330020904541,0
[H]C#CC([H])=O,-26.264596939086914,0
[H]C(=O)C#N,-22.738788604736328,0
[H]C(=O)C([H])=O,-25.07589340209961,0
[H]C([H])([H])C#CC([H])([H])[H],-38.82550811767578,0
[H]C#CC([H])([H])C([H])([H])[H],-38.46046829223633,0
[H]C([H])([H])C([H])([H])C#N,-35.248085021972656,0
[H]N([H])C([H])([H])C#N,-30.0548152923584,0
[H]C#CC([H])([H])O[H],-30.760923385620117,0
[H]OC([H])([H])C#N,-27.470985412597656,0
[H]C(=O)C([H])([H])C([H])([H])[H],-37.3817253112793,0
[H]C(=O)N([H])C([H])([H])[H],-33.10556411743164,0
[H]C(=O)OC([H])([H])[H],-30.359203338623047,0
[H]OC([H])([H])C([H])=O,-29.78318977355957,0
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-49.372398376464844,0
[H]OC([H])([H])C([H])([H])C([H])([H])[H],-41.851959228515625,3
[H]C([H])([H])OC([H])([H])C([H])([H])[H],-41.66063690185547,0
[H]OC([H])([H])C([H])([H])O[H],-34.393428802490234,0
[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],-43.8260612487793,0
[H]C([H])([H])[C@]1([H])OC1([H])[H],-36.37982940673828,3
[H]C([H])([H])[NH+]1C([H])([H])C1([H])[H],-38.49693298339844,0
[H]OC1([H])C([H])([H])C1([H])[H],-36.263092041015625,3
[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],-43.78239059448242,0
[H]C1([H])OC([H])([H])C1([H])[H],-36.238277435302734,3
[H]ON=C(C([H])([H])[H])C([H])([H])[H],-42.6262321472168,0
[H]C1=C([H])N([H])C([H])=C1[H],-41.616554260253906,0
[H]C1=NC([H])=C([H])N1[H],-37.05241394042969,0
[H]C1=C([H])C([H])=C([H])O1,-38.82752227783203,0
[H]C1=NC([H])=C([H])O1,-34.29037857055664,0
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-60.5100212097168,0
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-53.217010498046875,3
[H]C#CC(=O)C([H])([H])[H],-37.751312255859375,0
[H]C([H])([H])C(=O)C#N,-34.302894592285156,0
[H]C#CC(=O)N([H])[H],-33.50383377075195,0
[H]C(=O)C(=O)C([H])([H])[H],-36.62138748168945,0
[H]C(=O)C(=O)N([H])[H],-32.21615982055664,0
[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],-49.569820404052734,0
[H]C([H])([H])C([H])(C#N)C([H])([H])[H],-46.36469268798828,0
[H]N([H])[C@@]([H])(C#N)C([H])([H])[H],-41.34310531616211,0
[H]C#C[C@]([H])(O[H])C([H])([H])[H],-42.08782958984375,3
[H]O[C@@]([H])(C#N)C([H])([H])[H],-38.81222915649414,3
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],-48.5008430480957,0
[H]O[C@@]([H])(C([H])=O)C([H])([H])[H],-41.04579544067383,3
[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],-44.096439361572266,0
[H]OC([H])([H])C(=O)C([H])([H])[H],-41.43560028076172,3
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],-48.87274169921875,0
[H]N([H])C(=O)C([H])([H])C([H])([H])[H],-44.62847137451172,0
[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],-44.5015869140625,0
[H]N([H])C(=O)N([H])C([H])([H])[H],-39.9493408203125,0
[H][N-]C(OC([H])([H])[H])C([H])([H])[H],-43.7227668762207,0
[H]C([H])([H])OC(=O)C([H])([H])[H],-41.977294921875,0
[H]N([H])C(=O)OC([H])([H])[H],-37.52055740356445,0
[H]OC([H])([H])C(=O)N([H])[H],-36.86906433105469,0
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-52.98049545288086,3
[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])[H],-45.654781341552734,3
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-60.454345703125,3
[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-53.10389709472656,3
[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],-52.837711334228516,3
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],-55.01655578613281,3
