smiles,dga,cluster
[H]O[C@]1([H])[C@]2([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[H])[C@]12O[H],-79.09414672851562,1
[H]C([H])([H])[C@]1([H])O[C@@]2([H])[C@@]([H])(O1)[C@@]1([H])C([H])([H])[C@@]21[H],-74.45528411865234,1
[H]C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])OC([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],-92.4774398803711,1
[H]C(=O)[C@]1([H])O[C@@]([H])([C@]2([H])N([H])C2([H])[H])C1([H])[H],-69.37772369384766,2
[H]OC([H])([H])C1=C([H])[C@]2([H])[N@H+](C([H])([H])C1([H])[H])C2([H])[H],-76.9430923461914,2
[H]C1([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[C@@]([H])(C#N)C([H])([H])[H],-85.148681640625,3
[H][N-]C1=[N+]([H])C(=O)OC(O[H])=C1[H],-56.09695816040039,0
[H]N([H])C(=O)[C@@](C#N)(N([H])[H])C([H])([H])C([H])([H])[H],-69.82572937011719,3
[H]C#CC#CC([H])(C#C[H])C#C[H],-61.23985290527344,0
[H][N-]C(C#N)OC([H])([H])C(=O)C([H])([H])[H],-61.92349243164063,3
[H]C1=C(C([H])([H])[H])C([H])([H])[C@]2(C([H])([H])[H])C([H])([H])O[C@]12[H],-82.43183898925781,1
[H]O[C@]1([H])C([H])([H])OC([H])([H])[C@]2([H])C([H])([H])[C@@]21C([H])([H])[H],-79.69930267333984,1
[H]OC([H])([H])[C@@]1([H])O[C@]2([H])[C@]([H])(C1([H])[H])[C@]2([H])C([H])([H])[H],-79.66232299804688,1
[H]N1[C@]2([H])[C@@]1([H])[C@]1(N([H])[H])C(=O)N([H])[C@]21[H],-62.15277099609375,2
[H]N1[C@@]([H])(C#N)C([H])(C([H])([H])[H])[C@]1([H])C#N,-65.97474670410156,2
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])OC([H])([H])C([H])([H])C([H])([H])O1,-85.37434387207031,3
[H][N-]C1O[C@]2([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]12[H],-78.24085235595703,1
[H][N-]C1=NNOC(N([H])[H])=C1N([H])[H],-53.40476989746094,0
[H]C1=NC2=C(O1)C([H])=C([H])N2[H],-53.30460739135742,0
[H]N([H])C([H])([H])[C@]1(C#N)C(=O)OC1([H])[H],-61.73442459106445,3
[H]C(=O)[C@]1([H])C(=O)OC([H])([H])[C@]1([H])C([H])([H])[H],-69.61544036865234,3
[H]N1C(=O)C([H])([H])N(C([H])([H])[H])C(=O)C1([H])[H],-68.02156066894531,0
[H]C#C[C@]1([H])O[C@]2([H])[C@]([H])(O[H])[C@@]21[H],-56.66358184814453,1
[H]C#C[C@]1(O[H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],-76.07926177978516,1
[H]C1=C([H])C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C([H])=C12,-77.97453308105469,3
[H]O[C@@]1([H])C([H])([H])[C@@]1([H])OC(=O)C#N,-58.65983581542969,3
[H]C(=O)C1=NC(=O)N([H])C([H])=C1[H],-58.316593170166016,0
[H]C#C[C@]12C([H])([H])[C@@]1([H])[C@@]([H])(C([H])=O)C2([H])[H],-71.11473846435547,3
[H]N([H])C1=NN([H])C(OC([H])([H])C([H])([H])[H])=N1,-64.86402893066406,0
[H]C([H])([H])C([H])([H])[C@]1([H])N2C(=O)C([H])([H])[C@]2([H])C1([H])[H],-77.65077209472656,2
[H]C(=O)[C@@]12[C@]3([H])[N@H+]4[C@]3([H])[C@]1([H])C([H])([H])[C@]42[H],-65.63909912109375,2
[H]C([H])([H])C1([H])C([H])([H])C2(C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H],-94.6948471069336,3
[H]C1=N[C@]2([H])[C@]3([H])O[C@]([H])(O1)C([H])([H])[C@]23[H],-65.71604919433594,2
[H]C#CC([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],-75.44213104248047,3
[H]O[C@@]1([H])[C@@]2([H])O[C@]1([H])C(C([H])([H])[H])=C2[H],-62.93281173706055,3
[H]N1C(=O)[C@]2([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],-67.57962036132812,2
[H][N-]C1O[C@]2([H])O[C@@]1([H])C([H])([H])N([H])C2([H])[H],-66.29560089111328,3
[H]O[C@@]([H])(C#N)C1=C([H])N([H])N=N1,-54.2153434753418,0
[H]C#C[C@]1([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],-60.10655975341797,3
[H]ONC1[C@@]2([H])N(C([H])=O)[C@]1([H])C2([H])[H],-58.08369064331055,2
[H]C1=NOC([H])=C1C(F)(F)F,-47.017555236816406,0
[H]OC([H])([H])[C@@]1([H])OC([H])([H])[C@@]1([H])N([H])C([H])=O,-68.26921081542969,2
[H]N1C([H])([H])[C@]12[C@@]([H])(C#N)[C@@]1([H])C([H])([H])[C@]12[H],-69.15790557861328,2
[H]C1=NC([H])([H])[C@@]2([H])O[C@@]([H])(O1)C([H])=C2[H],-65.93572998046875,0
[H]O[C@@]1([H])C([H])([H])[C@]2([H])[N@@H+]3C([H])([H])[C@]3([H])C([H])([H])[C@]12[H],-76.60335540771484,2
[H]C(=O)C1=C(C([H])([H])[H])N([H])C(C([H])([H])[H])=N1,-70.17664337158203,0
[H]C1=C([H])[C@]2([H])OC([H])([H])[C@]13C([H])([H])O[C@@]32[H],-68.17715454101562,1
[H]O[C@]([H])(C([H])([H])C#CC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-86.87413024902344,3
[H]N([H])C1=NOC(C([H])([H])N([H])C([H])([H])[H])=N1,-63.89778137207031,0
[H]O[C@]1([H])C([H])([H])[C@]2(OC([H])([H])C([H])([H])C2([H])[H])C1([H])[H],-79.96192169189453,1
[H]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-74.94587707519531,3
[H]C1=NN([H])C2=C1C([H])([H])C([H])([H])C([H])([H])C2([H])[H],-76.6135025024414,0
[H]C1=NC2=C(O1)C([H])=C([H])C([H])([H])C2([H])[H],-69.3341293334961,0
[H]N([H])[C@]1([H])C(=O)OC1([H])[H],-42.77840042114258,3
[H]C#C[C@@]1([C@]([H])(O[H])C([H])([H])O[H])OC1([H])[H],-66.2154312133789,3
[H]C1=C(C2([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])OC1([H])[H],-82.0732192993164,3
[H][C+]1[NH2+]C([H])([H])[C@@](C#CC([H])([H])[H])(C([H])([H])[H])O1,-72.78094482421875,3
[H][C+]1[NH2+][C@@](C#N)(C([H])([H])C([H])([H])[H])C([H])([H])N1[H],-71.51030731201172,2
[H]C([H])([H])[C@]12C([H])([H])[C@@]1([H])[C@]1([H])O[C@@]2([H])OC1([H])[H],-74.68059539794922,1
[H]C#C[C@@]12[C@]3([H])C([H])([H])[C@@]4([H])[C@]3([H])[C@]1([H])[C@]42[H],-71.85643768310547,3
[H]C([H])([H])[C@]1([H])[N@@H+]2C([H])([H])[C@]3([H])[N@H+]4[C@]([H])([C@]41[H])[C@]23[H],-73.01142120361328,2
[H]C1=C(C([H])([H])[H])C([H])([H])C2(C1=O)C([H])([H])C2([H])[H],-78.521728515625,3
[H]C([H])([H])C([H])([H])C([H])([H])[C@@]1(C([H])([H])[H])OC1(C([H])([H])[H])C([H])([H])[H],-92.22058868408205,1
[H]O[C@@]([H])(C([H])([H])N([H])C([H])=O)C([H])([H])C([H])([H])C([H])([H])[H],-81.32278442382812,3
[H]O[C@@]1(C([H])([H])[H])C(=O)C([H])=C([H])C1([H])[H],-65.20866394042969,3
[H]OC([H])([H])C(C#N)(C#N)N([H])C([H])([H])[H],-63.52664566040039,3
[H]N1[C@@]([H])(C#C[C@]2([H])OC2([H])[H])[C@@]1([H])C([H])([H])[H],-70.6493911743164,3
[H]O[C@]([H])(C([H])([H])[H])[C@]1([H])C([H])=C([H])C([H])([H])C([H])([H])C1([H])[H],-87.6908187866211,1
[H]C(=O)[C@]12N([H])C(=O)[C@]([H])(C1([H])[H])C2([H])[H],-66.09651947021484,2
[H]/N=C(\[H])N(C([H])=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-78.70488739013672,0
[H]O[C@@]1([H])C([H])=C([H])[C@@]([H])(O[H])[C@@]2([H])N([H])[C@]21[H],-69.97930908203125,2
[H]N([H])C(=O)OC1(C#N)C([H])([H])C1([H])[H],-62.216552734375,3
[H]O[C@@]1([H])[C@]2([H])C([H])([H])[N@@H+]3C([H])([H])[C@]3([H])[C@@]1([H])C2([H])[H],-76.3667221069336,2
[H]C#C[C@]1([H])[C@]2([H])C([H])([H])[C@@]1([H])[C@]1([H])O[C@@]12[H],-70.12828826904297,1
[H]OC([H])([H])C1=C([H])C([H])([H])[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H],-82.25703430175781,3
[H]C(=O)[C@]1([H])C([H])([H])[C@]2([H])[C@@]1([H])O[C@]2([H])C([H])([H])[H],-74.60601043701172,1
[H]C(=O)N1C([H])([H])[C@@]2([H])C([H])([H])[C@@]3([H])[C@]1([H])[C@@]23[H],-72.78325653076172,2
[H]OC([H])([H])[C@]1([H])[C@]2([H])O[C@]2([H])[C@]2([H])N([H])[C@@]21[H],-69.03472137451172,2
[H]C([H])([H])[C@]1([H])C([H])([H])[C@@]2(C([H])([H])[H])C([H])([H])[C@]1([H])[C@]2([H])C([H])([H])[H],-94.42539978027344,3
[H]C1=C(C(=O)N([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])N1[H],-74.432861328125,0
